 Baymont Inn and Suites Springfield ,"      Springfield, IL ",44, See all 4 available rooms  , See all 4 ,4
 Motel 6 Springfield Illinois ,"      Springfield, IL ",84, See both available rooms  , See both ,2
 Comfort Inn & Suites Springfield ,"      Springfield, IL ",109, See all 4 available rooms  , See all 4 ,4
 Wyndham Springfield City Centre ,"      Springfield, IL ",70, See all 3 available rooms  , See all 3 ,3
 Northfield Inn Suites and Conference Center ,"      Springfield, IL ",52, See all 7 available rooms  , See all 7 ,7
 Red Roof Inn Springfield ,"      Springfield, IL ",104, See all 7 available rooms  , See all 7 ,7
" The State House Inn, an Ascend Hotel Collection Member ","      Springfield, IL ",45, See all 7 available rooms  , See all 7 ,7
 Midtown Inn ,"      Springfield, IL ",82, See all 6 available rooms  , See all 6 ,6
 Country Inn & Suites By Carlson Springfield ,"      Springfield, IL ",80, See all 4 available rooms  , See all 4 ,4
 Ramada Springfield North ,"      Springfield, IL ",66, See all 9 available rooms  , See all 9 ,9
 Sleep Inn Springfield ,"      Springfield, IL ",54, See all 9 available rooms  , See all 9 ,9
 Mansion View Inn Springfield ,"      Springfield, IL ",50, See all 6 available rooms  , See all 6 ,6
 Howard Johnson Springfield ,"      Springfield, IL ",85, See all 5 available rooms  , See all 5 ,5
 Homestyle Inn and Suites Springfield ,"      Springfield, IL ",104, See all 4 available rooms  , See all 4 ,4
 Candlewood Suites Springfield ,"      Springfield, IL ",63, See all 7 available rooms  , See all 7 ,7
 Staybridge Suites Hotel Springfield South ,"      Springfield, IL ",109, See both available rooms  , See both ,2
 Days Inn - Springfield South ,"      Springfield, IL ",80, See all 3 available rooms  , See all 3 ,3
 Courtyard by Marriott Springfield ,"      Springfield, IL ",89, See all 7 available rooms  , See all 7 ,7
 Quality Inn & Suites Springfield ,"      Springfield, IL ",83, See both available rooms  , See both ,2
 Hampton Inn Springfield ,"      Springfield, IL ",109, See all 7 available rooms  , See all 7 ,7
 Comfort Suites Springfield ,"      Springfield, IL ",79.62, See all 6 available rooms  , See all 6 ,6
 Holiday Inn Express Springfield ,"      Springfield, IL ",79.5, See all 4 available rooms  , See all 4 ,4
 Wyndham Garden Silicon Valley ,"      San Jose, CA ",99, See all 4 available rooms  , See all 4 ,4
 Wyndham Garden San Jose Airport ,"      San Jose, CA ",109, See all 3 available rooms  , See all 3 ,3
 Global Luxury Suites at Epic Way ,"      San Jose, CA ",119, See all 9 available rooms  , See all 9 ,9
 The Row Hotel ,"      San Jose, CA ",127, See all 8 available rooms  , See all 8 ,8
 Four Points by Sheraton San Jose Airport ,"      San Jose, CA ",195, See all 11 available rooms  , See all 11 ,1
 DoubleTree by Hilton San Jose ,"      San Jose, CA ",188, See all 12 available rooms  , See all 12 ,2
 The Fairmont San Jose ,"      San Jose, CA ",209, See all 5 available rooms  , See all 5 ,5
 The Westin San Jose ,"      San Jose, CA ",155, See all 5 available rooms  , See all 5 ,5
 La Quinta San Jose Airport ,"      San Jose, CA ",116, See all 6 available rooms  , See all 6 ,6
 Pacific Motor Inn ,"      San Jose, CA ",107, See both available rooms  , See both ,2
 Vagabond Inn-San Jose Airport ,"      San Jose, CA ",107, Select your room  ,#VALUE!,10+
 Hotel Elan ,"      San Jose, CA ",159, See all 4 available rooms  , See all 4 ,4
" Hyatt Place San Jose, Downtown ","      San Jose, CA ",97, See both available rooms  , See both ,2
 Global Luxury Suites at San Fernando Street ,"      San Jose, CA ",159, See all 3 available rooms  , See all 3 ,3
 Caravelle Inn & Suites ,"      San Jose, CA ",180, Select your room  ,#VALUE!,10+
" Country Inn & Suites By Carlson, San Jose International Airport, CA ","      San Jose, CA ",169, See all 4 available rooms  , See all 4 ,4
 Arena Hotel ,"      San Jose, CA ",86, See all 4 available rooms  , See all 4 ,4
 Fairfield Inn and Suites by Marriott San Jose Airport ,"      San Jose, CA ",109, See all 5 available rooms  , See all 5 ,5
 Motel 6 San Jose South ,"      San Jose, CA ",199, See both available rooms  , See both ,2
 Motel 6 San Jose Convention Center ,"      San Jose, CA ",119, See all 4 available rooms  , See all 4 ,4
 SpringHill Suites by Marriott San Jose Airport ,"      San Jose, CA ",145.67, See all 2 available rooms  , See all 2 ,2
 Hyatt House San Jose-Silicon Valley ,"      San Jose, CA ",146.99, Select your room  ,#VALUE!,10+
